dataset_name,file_name,column_name,data_type,missing_count,missing_percentage,unique_count,minimum,maximum,sample_values,profile_note
detailed_listings,listings.csv.gz,host_thumbnail_url,float64,10369,100.0,0.0,,,,
detailed_listings,listings.csv.gz,host_picture_url,str,142,1.3695,9005.0,,,https://a0.muscache.com/im/pictures/user/9986bbdb-632f-42b5-a866-8e3307184977.jpg?aki_policy=profile_x_medium | https://a0.muscache.com/im/users/187728/profile_pic/1441737374/original.jpg?aki_policy=profile_x_medium | https://a0.muscache.com/im/users/194779/profile_pic/1436464796/original.jpg?aki_policy=profile_x_medium,
detailed_listings,listings.csv.gz,host_neighbourhood,float64,10369,100.0,0.0,,,,
detailed_listings,listings.csv.gz,host_listings_count,float64,142,1.3695,39.0,1.0,1167.0,2.0 | 6.0 | 1.0,
detailed_listings,listings.csv.gz,host_total_listings_count,float64,10369,100.0,0.0,,,,
detailed_listings,listings.csv.gz,host_verifications,float64,10369,100.0,0.0,,,,
detailed_listings,listings.csv.gz,host_has_profile_pic,str,142,1.3695,2.0,,,t | f,
detailed_listings,listings.csv.gz,host_identity_verified,str,142,1.3695,2.0,,,t | f,
detailed_listings,listings.csv.gz,neighbourhood,float64,10369,100.0,0.0,,,,
detailed_listings,listings.csv.gz,neighbourhood_cleansed,str,0,0.0,22.0,,,Centrum-West | Centrum-Oost | Buitenveldert - Zuidas,
detailed_listings,listings.csv.gz,neighbourhood_group_cleansed,float64,10369,100.0,0.0,,,,
detailed_listings,listings.csv.gz,latitude,float64,0,0.0,7560.0,52.290276216002695,52.4251585173962,52.36775 | 52.36584 | 52.38211,
detailed_listings,listings.csv.gz,longitude,float64,0,0.0,8565.0,4.75587,5.02815,4.89092 | 4.89111 | 4.8863,
detailed_listings,listings.csv.gz,property_type,str,0,0.0,59.0,,,Private room in rental unit | Private room in condo | Entire rental unit,
detailed_listings,listings.csv.gz,room_type,str,0,0.0,4.0,,,Private room | Entire home/apt | Hotel room,
detailed_listings,listings.csv.gz,accommodates,int64,0,0.0,14.0,1,16,2 | 4 | 3,
detailed_listings,listings.csv.gz,bathrooms,float64,4956,47.7963,13.0,0.5,17.0,1.0 | 1.5 | 2.0,
