listing_id,date,review_count
50383849,2023-07-02,13
50383849,2022-04-18,13
50383849,2022-08-05,13
45045046,2022-09-22,12
50383849,2023-01-06,12
50383849,2023-07-15,11
50383849,2022-03-16,11
50383849,2021-09-05,11
50383849,2023-08-12,11
50383849,2023-01-15,11
50383849,2023-01-05,11
50383849,2022-03-06,11
50383849,2022-07-08,11
50383849,2022-06-28,10
45045046,2021-08-13,10
45045046,2021-08-22,10
50383849,2021-09-12,10
50383849,2022-05-29,10
1445482496485405601,2025-08-23,10
50383849,2022-05-26,10
