room_type,sample_size,mean,median,std,minimum,maximum,q1,q3,iqr
Entire home/apt,4771,394.6231398029763,331.0,357.1092558728429,26.0,11412.0,252.0,451.0,199.0
Private room,1653,203.66666666666666,171.0,139.40215078998924,15.0,1712.0,129.0,229.0,100.0
