host_group,sample_size,mean,median,std,minimum,maximum,q1,q3,iqr
Non-superhost,7566,4.850260375363468,4.94,0.25538773110769203,1.0,5.0,4.79,5.0,0.20999999999999996
Superhost,1661,4.863973509933775,4.9,0.1557932960851735,3.33,5.0,4.82,4.96,0.13999999999999968
