,price_best_available,accommodates,bedrooms,beds,review_scores_rating,detailed_review_count,unavailability_rate_proxy,host_portfolio_size
price_best_available,1.0,0.38541177196269455,0.38114581464213076,0.3454707420190499,0.06104304071039321,-0.14154629453776374,-0.05608162765097156,-0.09748114054525958
accommodates,0.38541177196269455,1.0,0.736835310480029,0.7900043677715443,-0.045675541912735054,-0.06807568413452618,-0.002761953091554833,0.005173851917254085
bedrooms,0.38114581464213076,0.736835310480029,1.0,0.7257881803760434,0.04014449109466981,-0.0739380744263118,0.05962881680906699,-0.08224951411970197
beds,0.3454707420190499,0.7900043677715443,0.7257881803760434,1.0,-0.04137138404502942,-0.0413702449957649,0.03627340424912674,0.018986253689581074
review_scores_rating,0.06104304071039321,-0.045675541912735054,0.04014449109466981,-0.04137138404502942,1.0,-0.05287312558907609,0.15124588303096345,-0.22526996854140313
detailed_review_count,-0.14154629453776374,-0.06807568413452618,-0.0739380744263118,-0.0413702449957649,-0.05287312558907609,1.0,-0.17410377108657463,0.06836155712463499
unavailability_rate_proxy,-0.05608162765097156,-0.002761953091554833,0.05962881680906699,0.03627340424912674,0.15124588303096345,-0.17410377108657463,1.0,-0.23582397649132836
host_portfolio_size,-0.09748114054525958,0.005173851917254085,-0.08224951411970197,0.018986253689581074,-0.22526996854140313,0.06836155712463499,-0.23582397649132836,1.0
